endTime,artistName,trackName,msPlayed
2022-12-29 13:06,Alphons Joseph,My World Is Flying,720
2022-12-29 13:06,Rahul Sipligunj,"Naatu Naatu (From ""Rrr"")",1018
2022-12-29 13:06,Anirudh Ravichander,"Massu Maranam - From ""Petta (Telugu)""",970
2022-12-29 13:06,Mangli,"Bhoom Bhaddhal (From ""Krack"")",1855
2022-12-29 13:06,M. M. Keeravani,Young Yama,23
2022-12-29 13:06,"Muralidar, Suchitra",Ippatikinka,971
2022-12-29 13:06,Raghu Kunche,Nakkileesu Golusu - Telugu,629
2022-12-29 13:08,Srinivas,Meriseti Puvvaa,1190
2022-12-29 13:08,Nakash Aziz,Bujji Bangaram,0
2022-12-29 13:08,"Kota Srinivas Rao, Chorus",Mandu Baabulam,93213
2022-12-29 13:08,"Ranjith, Suchitra",Dole Dole,364
2022-12-29 13:08,Rahul Sipligunj,Pedda Puli,685
2022-12-29 13:08,Hiphop Tamizha,Neethoney Dance,0
2022-12-29 13:08,Sagar,Padam Kadala,134
2022-12-29 13:08,"Udit Narayan, Chitra",Radhe Govinda,300
2022-12-29 13:09,"Balakrishna Nandamuri, Divya Divakar",Mama Ek Peg La,0
2022-12-29 13:09,R. P. Patnaik,Raanu Raanu,1281
2022-12-29 13:09,Sagar,Padam Kadala,55662
2022-12-29 13:09,Nakash Aziz,Naa B C Center'lu,0
2022-12-29 13:09,"Udit Narayan, Chitra",Radhe Govinda,650
2022-12-29 13:11,Nakash Aziz,Vaaram - First Look Somavaaram,990
2022-12-29 13:11,Nakash Aziz,Mecchuko,0
2022-12-29 13:11,Padmalatha,Choosa Choosa,0
2022-12-29 13:11,Mika Singh,Yahoon Yahoon,0
2022-12-29 13:11,"Shreya Ghoshal, Naveen Madhav",Hey Naayak,0
2022-12-29 13:11,Bheems Ceciroleo,Aasia Khantamlo,227
2022-12-29 13:11,"Chiranjeevi, K.K",Chaila Chaila,443
2022-12-29 13:11,"M.L.R. Karthikeyan, Jr.Ntr",Sri Anjaneyam,0
2022-12-29 13:11,Devi Sri Prasad,Ringa Ringa,314
2022-12-29 13:11,"Manikya Vinayagam, Sumangali",Pattu Pattu,0
2022-12-29 13:11,Shreya Ghoshal,Pillagali,300
2022-12-29 13:11,R. P. Patnaik,Raanu Raanu,129588
2022-12-29 13:11,Anirudh Ravichander,"Chitike (From ""Gang"")",0
2022-12-29 13:11,"Karthik, Maha Lakshmi",Choododhu,951
2022-12-29 13:11,Mani Sharma,Sada Siva,0
2022-12-29 13:11,Chinna Ponnu,Mirchi,1215
2022-12-29 13:11,Saloni,Veyira Cheyyi Veyira,835
2022-12-29 13:11,Kalyani Malik,Chantaina Bujjaina,0
2022-12-29 13:11,Nakash Aziz,Naa B C Center'lu,623
2022-12-29 13:11,"Karthik, Malathi",Naa Pere Kanchanamaala,1351
2022-12-29 13:11,Benny Dayal,Jennifer Lopez,592
2022-12-29 13:11,"David Simon, Anitha",Violin Song,23
2022-12-29 13:11,"Udit Narayan, Chitra",Vana Vana,0
2022-12-29 13:11,Shankar Mahadevan,Chandrullo Unde,23
2022-12-29 13:11,"Hari Haran, Chitra",Chinnaga Chinnaga,23
2022-12-29 13:11,"Sheshank Sheshagiri, Chintan Vikas",Last Bench,1600
2022-12-29 13:11,"Sagar, Geetha Madhuri",Top Lesi Poddi,448
2022-12-29 13:13,Anirudh Ravichander,Vikram - Title Track,104200
2022-12-29 13:16,Anirudh Ravichander,Once Upon a Time,143709
2022-12-29 13:32,Anirudh Ravichander,JD Intro - Background Score,52520
2022-12-29 14:56,Anirudh Ravichander,JD Intro - Background Score,27625
2022-12-29 15:44,Nakash Aziz,"Ra Ra Rakkamma (From ""Vikrant Rona"")",8534
2022-12-29 16:16,Nakash Aziz,"Ra Ra Rakkamma (From ""Vikrant Rona"")",17730
2022-12-29 16:17,Sricharan Pakala,Pataas Pilla,1730
2022-12-29 16:17,Sam C.S.,"Yaanji - From ""Vikram Vedha""",0
2022-12-29 16:17,Brodha V,Vainko,0
2022-12-29 16:17,Ravi Basrur,Your El Dorado!,0
2022-12-29 16:17,Leon James,Gundellonaa,590
2022-12-29 16:17,Ghibran,The Hero's Intro,670
2022-12-29 16:17,Ravi Basrur,Rocky Walks Up the Stairs,40660
2022-12-29 16:17,Anirudh Ravichander,Kaththi - Theme,970
2022-12-29 16:17,Thaman S,Thaar Maar Thakkar Maar,0
2022-12-29 16:20,Leon James,Gundellonaa,200113
2022-12-29 16:24,Anirudh Ravichander,Vikram - Title Track,218823
2022-12-29 16:28,Thaman S,Kalaavathi,242322
2022-12-29 16:30,Anirudh Ravichander,Once Upon a Time,143709
2022-12-29 16:34,Devi Sri Prasad,Srivalli,221000
2022-12-29 16:35,Anirudh Ravichander,Doctor Theme - Background Score,43124
2022-12-29 16:38,Ram Miriyala,Tillu Anna DJ Pedithe,183500
2022-12-29 16:42,Vishal Chandrashekhar,Inthandham,218808
2022-12-29 16:45,Sricharan Pakala,"Hrudayama (From ""Major - Telugu"")",214814
2022-12-29 16:48,Ghibran,The Revelation (Interval BGM),290
2022-12-29 16:48,Vishal Chandrashekhar,Oh Sita Hey Rama,360
2022-12-29 16:48,Blaaze,Roar Of RRR,390
2022-12-29 16:48,Nakash Aziz,Eyy Bidda Idhi Naa Adda,750
2022-12-29 16:48,"Mahesh Babu, Puri Jagannath, Chours",Businessman Theme,75162
2022-12-29 16:48,Indravathi Chauhan,Oo Antava Oo Oo Antava,330
2022-12-29 16:48,Vishal Chandrashekhar,"Kaanunna Kalyanam (From ""Sita Ramam (Telugu)"")",200
2022-12-29 16:48,Anirudh Ravichander,JD Intro - Background Score,320
2022-12-29 16:48,Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",300
2022-12-29 16:48,Sam C.S.,Night Is Dark,280
2022-12-29 16:48,Kala Bhairava,"Krishna Trance (From ""Karthikeya 2"")",1760
2022-12-29 16:48,Leon James,Gundellonaa,2910
2022-12-29 16:48,Anirudh Ravichander,"Beast Mode (From ""Beast"")",480
2022-12-29 16:48,Anirudh Ravichander,Lokiverse - Background Score,500
2022-12-29 16:48,A.R. Rahman,"Adheeraa (From ""Cobra"")",320
2022-12-29 16:48,S. P. Balasubrahmanyam,Maayera,380
2022-12-29 16:48,Mounika Yadav,Saami Saami,310
2022-12-29 16:53,Anirudh Ravichander,JD Vs. Bhavani - Background Score,420
2022-12-29 16:53,M. M. Keeravani,The Water,640
2022-12-29 16:53,Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",279677
2022-12-29 16:53,Hesham Abdul Wahab,Darshana,560
2022-12-29 16:53,Yuvan Shankar Raja,Dhanush Kodi's Theme,510
2022-12-29 16:53,Shankar Mahadevan,Yemi Cheyamanduve,2312
2022-12-29 16:53,Pritam,"Kesariya (From ""Brahmastra"")",420
2022-12-29 16:53,Anirudh Ravichander,Rolex Theme - Background Score,530
2022-12-29 16:54,Anirudh Ravichander,Bhavani Theme - Background Score,4080
2022-12-29 16:54,Pritam,Ilahi,1960
2022-12-29 16:54,"Anurag Kulkarni, Shreya Goshal",Mooga Manasulu,0
2022-12-29 16:54,Anirudh Ravichander,"Master the Blaster (From ""Master"")",400
